Unnamed: 0,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE,LAT,LON,FIPSCNTY,CNTYNAME
158,GOLETA_6_GAVOTA,ngct,SCE,9.9,5.72,5.78,5.85,4,10,1,1,3.17,4.109589041,693.0,GAVIOTA OIL HEATING FACILITY,Gaviota Oil Plant,50623,34.475067,-120.205107,83.0,Santa Barbara
51,GRNLF1_1_UNITS,ngcc,PGE_valley,49.5,6.64,6.9,7.16,20,50,6,6,2.0,22.87822878,3465.0,GREENLEAF UNIT #1 (Aggregate),Greenleaf One,10350,39.052922,-121.696072,101.0,Sutter
84,GRNLF2_1_UNIT,ngct,PGE_valley,63.75,8.02,8.08,8.15,23,64,1,1,3.17,26.84931507,4462.5,GREENLEAF UNIT #2,Greenleaf One,10350,39.052922,-121.696072,101.0,Sutter
90,GRZZLY_1_BERKLY,ngct,PGE_valley,32.5,7.98,8.05,8.11,12,33,1,1,3.17,13.69863014,2275.0,"PE - BERKELEY, INC.",PE Berkeley,50849,37.870331,-122.26337,1.0,Alameda
124,HARBGN_7_UNITS,ngcc,SCE,109.01,10.65,10.91,11.17,44,110,4,4,2.0,50.18450185,7630.7,HARBOR COGEN COMBINED CYCLE PLANT,Harbor Generating Station,399,33.7706,-118.2656,37.0,Los Angeles
102,HENRTA_6_UNITA1,ngct,PGE_valley,49.98,7.41,7.47,7.54,18,50,1,1,3.17,21.09589041,3498.6,Henrietta Peaker Plant Unit 1,Henrietta Peaker Plant,55807,36.2397,-119.9044,31.0,Kings
103,HENRTA_6_UNITA2,ngct,PGE_valley,49.42,7.41,7.47,7.54,18,50,1,1,3.17,20.82191781,3459.4,Henrietta Peaker Plant Unit 2,Henrietta Peaker Plant,55807,36.2397,-119.9044,31.0,Kings
125,HIDSRT_2_UNITS,ngcc,SCE,830.0,7.29,7.56,7.82,332,830,4,4,2.0,381.5498155,58100.0,HIGH DESERT POWER PROJECT (AGGREGATE),High Desert Power Project,55518,34.5953,-117.3647,71.0,San Bernardino
160,HINSON_6_LBECH1,ngct,SCE,65.0,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550.0,Long Beach - Unit 1,Long Beach Generating Station,341,33.7641,-118.2248,37.0,Los Angeles
161,HINSON_6_LBECH2,ngct,SCE,65.0,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550.0,Long Beach - Unit 2,Long Beach Generating Station,341,33.7641,-118.2248,37.0,Los Angeles
162,HINSON_6_LBECH3,ngct,SCE,65.0,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550.0,Long Beach - Unit 3,Long Beach Generating Station,341,33.7641,-118.2248,37.0,Los Angeles
163,HINSON_6_LBECH4,ngct,SCE,65.0,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550.0,Long Beach - Unit 4,Long Beach Generating Station,341,33.7641,-118.2248,37.0,Los Angeles
216,HNTGBH_7_UNIT1,ngst,SCE,225.75,11.19,11.89,12.6,91,226,6,6,2.0,46.87116564,15802.5,Huntington Beach 1,AES Huntington Beach,335,33.6439,-117.9792,59.0,Orange
217,HNTGBH_7_UNIT2,ngst,SCE,225.8,11.19,11.89,12.6,91,226,6,6,2.0,46.87116564,15806.0,Huntington Beach 2,AES Huntington Beach,335,33.6439,-117.9792,59.0,Orange
141,HOLGAT_1_BORAX,ngct,SCE,48.2,8.06,8.13,8.19,17,49,1,1,3.17,20.273972600000004,3374.0,U.S. BORAX AND CHEMICAL CORP. (#1),US Borax,50115,35.0329,-117.701,29.0,Kern
107,HUMBPP_1_UNITS3,ngct,PGE_valley,65.08,7.19,7.26,7.32,23,66,1,1,3.17,27.39726027,4555.6,Humboldt Bay Generating Station 3,Humboldt Bay,246,40.7415,-124.2103,23.0,Humboldt
