SEQPLT18,YEAR,PSTATABB,PNAME,ORISPL,OPRNAME,OPRCODE,UTLSRVNM,UTLSRVID,SECTOR,BANAME,BACODE,NERC,SUBRGN,SRNAME,ISORTO,FIPSST,FIPSCNTY,CNTYNAME,LAT,LON
6493,2018,NC,"Nickelson Solar, LLC",62205,"Duke Energy Carolinas, LLC",5416,Sol Systems,61677,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,061,Duplin,34.747103,-77.987375
6494,2018,NC,Nitro Solar,59501,Duke Energy Progress - (NC),3046,Greenbacker Renewable Energy Corporation,60025,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,101,Johnston,35.486944,-78.313889
6495,2018,NC,North 301 Solar,61778,Virginia Electric & Power Co,19876,North 301 Solar,61401,IPP Non-CHP,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,083,Halifax,36.213,-77.624
6496,2018,NC,North Carolina Solar Bethea I,58531,Duke Energy Progress - (NC),3046,Greenbacker Renewable Energy Corporation,60025,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,165,Scotland,34.704722,-79.525833
6497,2018,NC,North Carolina Solar III LLC,58880,"Duke Energy Carolinas, LLC",5416,"SRE Utility Solar 1, LLC",61119,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,165,Scotland,34.766667,-79.559722
6498,2018,NC,"North Nash Farm, LLC",60651,Duke Energy Progress - (NC),3046,"North Nash Farm, LLC",60390,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,127,Nash,36.070336,-78.038319
6499,2018,NC,Northern Cardinal Solar,60992,Virginia Electric &amp; Power Co,19876,Northern Cardinal Solar LLC,60635,IPP Non-CHP,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,083,Halifax,36.433289,-77.719745
6500,2018,NC,Oakboro Farm,58851,"Duke Energy Carolinas, LLC",5416,Oakboro Farm LLC,58726,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,165,Scotland,34.795833,-79.538333
6501,2018,NC,Ocracoke,6377,Tideland Electric Member Corp,19108,North Carolina El Member Corp,13683,Electric Utility,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,095,Hyde,35.109444,-75.979722
6502,2018,NC,Old Caroleen Solar Farm,61534,"Duke Energy Carolinas, LLC",5416,Cypress Creek Renewables,61060,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,161,Rutherford,35.297715,-81.812045
