name,typ,zone,netcap,eGRID_Name,DOE,LAT,LON,FIPSCNTY,CNTYNAME,CO2rate(lbs/MWh),NOXrate(lbs/MWh),SO2rate(lbs/MWh),CO2Tax($/MWh),NOXTax($/MWh),SO2Tax($/MWh),PMTax($/MWh),NOX_lbs_MD ($/lb),SO2_lbs_MD ($/lb),PM_MD_KWH ($/MWh)
KERNRG_1_UNITS,ngct,PGE_valley,55.2,South Belridge Cogeneration Facility,50752,35.438611,-119.7075,29,Kern,678.564,1.804,0.019,14.58303086,10.23319,0.116356,1.413492,5.6725,6.124,1.413492
KINGCO_1_KINGBR,ngct,PGE_valley,34.5,Kingsburg Cogen Facility,10405,36.5397,-119.5794,19,Fresno,1165.39,0.188,0.007,25.04541699,1.047066,0.1006425,1.258577,5.5695,14.3775,1.258577
KNGCTY_6_UNITA1,ngct,PGE_valley,44.6,King City Power Plant,10294,36.225,-121.1278,53,Monterey,27.643,0.003,0,0.594076199,0.01378485,0,1.018351,4.59495,12.625,1.018351
LAPLMA_2_UNIT1,ngcc,PGE_valley,259.8,La Paloma Generating Plant,55151,35.2956,-119.5919,29,Kern,895.003,0.059,0.005,19.23452522,0.3346775,0.03062,1.414905,5.6725,6.124,1.414905
LAPLMA_2_UNIT2,ngcc,PGE_valley,260.2,La Paloma Generating Plant,55151,35.2956,-119.5919,29,Kern,895.003,0.059,0.005,19.23452522,0.3346775,0.03062,1.414905,5.6725,6.124,1.414905
LAPLMA_2_UNIT3,ngcc,PGE_valley,256.15,La Paloma Generating Plant,55151,35.2956,-119.5919,29,Kern,895.003,0.059,0.005,19.23452522,0.3346775,0.03062,1.414905,5.6725,6.124,1.414905
LAPLMA_2_UNIT4,ngcc,PGE_valley,259.54,La Paloma Generating Plant,55151,35.2956,-119.5919,29,Kern,895.003,0.059,0.005,19.23452522,0.3346775,0.03062,1.414905,5.6725,6.124,1.414905
LARKSP_6_UNIT1,ngct,SDGE,46.1,Larkspur Energy Faciity,55542,32.567041,-116.944197,73,San Diego,1229.52,0.191,0.006,26.42363595,2.630452,0.254499,4.557959,13.772,42.4165,4.557959
LARKSP_6_UNIT2,ngct,SDGE,47.98,Larkspur Energy Faciity,55542,32.567041,-116.944197,73,San Diego,1229.52,0.191,0.006,26.42363595,2.630452,0.254499,4.557959,13.772,42.4165,4.557959
LEBECS_2_UNITS,ngcc,SCE,799.47,Pastoria Energy Facility,55656,34.9556,-118.844,29,Kern,851.502,0.045,0.004,18.29964446,0.2552625,0.024496,1.414905,5.6725,6.124,1.414905
LECEF_1_UNITS,ngct,PGE_bay,294,Los Esteros Critical Energy Facility,55748,37.425,-121.9319,85,Santa Clara,998.641,0.05,0.005,21.4618113,0.564075,0.1525175,4.547334,11.2815,30.5035,4.547334
LGHTHP_6_ICEGEN,ngct,SCE,48,Carson Cogeneration Company,10169,33.8759,-118.2491,37,Los Angeles,1081.572,5.74304,0.0054619,23.24408288,255.4016034,0.462459073,12.63779,44.4715,84.67,12.63779
LMBEPK_2_UNITA1,ngct,PGE_valley,48,Lambie Energy Center,55626,38.221577,-121.868333,95,Solano,1449.06,0.239,0.008,31.14177395,2.634019,0.205816,4.476259,11.021,25.727,4.476259
LMBEPK_2_UNITA2,ngct,PGE_bay,48,Creed Energy Center,55625,38.242158,-121.854722,95,Solano,1528.05,0.248,0.008,32.83934943,2.733208,0.205816,4.476259,11.021,25.727,4.476259
LMBEPK_2_UNITA3,ngct,PGE_bay,48,Goose Haven Energy Center,55627,38.226752,-121.843271,95,Solano,1440.3,0.246,0.008,30.95351263,2.711166,0.205816,4.476259,11.021,25.727,4.476259
LMEC_1_PL1X3,ngcc,PGE_bay,561.29,"Los Medanos Energy Center, LLC",55217,38.030071,-121.873004,13,Contra Costa,786.743,0.047,0.004,16.90790765,0.6992895,0.142656,7.069397,14.8785,35.664,7.069397
LODI25_2_UNIT1,ngct,PGE_valley,25.3,Lodi,7451,38.146571,-121.300541,77,San Joaquin,1881.77,4.958,0.051,40.44115217,61.144535,1.2335625,3.378912,12.3325,24.1875,3.378912
LODIEC_2_PL1X2,ngcc,PGE_valley,302.58,Lodi Energy Center,57978,38.088056,-121.3875,77,San Joaquin,843.476,0.042,0.004,18.12715755,0.517965,0.09675,3.38229,12.3325,24.1875,3.38229
MALAGA_1_PL1X2,ngcc,PGE_valley,96,Malaga Power,56239,36.6697,-119.7404,19,Fresno,1250.12,0.168,0.007,26.86635091,0.935676,0.1006425,1.258577,5.5695,14.3775,1.258577
METEC_2_PL1X3,ngcc,PGE_bay,593.16,Metcalf Energy Center,55393,37.2207,-121.7457,85,Santa Clara,872.505,0.055,0.004,18.7510203,0.6204825,0.122014,4.547334,11.2815,30.5035,4.547334
MIDSET_1_UNIT1,ngct,PGE_valley,52.9,Mid-Set Cogeneration,10501,35.19456,-119.57097,29,Kern,1059.5,2.8,0,22.76973314,15.883,0,1.413492,5.6725,6.124,1.413492
