name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,CO2Tax,NOXTax,SO2Tax,PMTax
GLNARM_7_UNIT3,ngct,SCE,44.83,8.06,8.13,8.19,16,45,1,1,3.17,18.90410959,3138.1,0,0,0,0
GLNARM_7_UNIT4,ngct,SCE,42.42,8.06,8.13,8.19,15,43,1,1,3.17,17.80821918,2969.4,0,0,0,0
SNCLRA_6_OXGEN,ngct,SCE,48.9,7.23,7.29,7.36,18,49,1,1,3.17,20.54794521,3423,0,0,0,0
OTAY_6_PL1X2,ngct,SDGE,35.5,19.33,19.39,19.46,8,36,1,1,3.17,15.06849315,2485,0,0,0,0
LGHTHP_6_ICEGEN,ngct,SCE,48,8.02,8.08,8.15,17,48,1,1,3.17,20.2739726,3360,0,0,0,0
CENTER_6_PEAKER,ngct,SCE,47,11.9,11.97,12.03,17,47,1,1,3.17,19.7260274,3290,0,0,0,0
GRZZLY_1_BERKLY,ngct,PGE_valley,32.5,7.98,8.05,8.11,12,33,1,1,3.17,13.69863014,2275,0,0,0,0
DREWS_6_PL1X4,ngct,SCE,41.4,13.67,13.74,13.8,15,42,1,1,3.17,17.53424658,2898,0,0,0,0
SNCLRA_2_HOWLNG,ngct,SCE,13,8.66,8.73,8.79,5,13,1,1,3.17,5.479452055,910,0,0,0,0
SHELRF_1_UNITS,ngcc,PGE_bay,100,8.87,9.13,9.39,40,100,5,5,2,45.94095941,7000,0,0,0,0
HARBGN_7_UNITS,ngcc,SCE,109.01,10.65,10.91,11.17,44,110,4,4,2,50.18450185,7630.7,0,0,0,0
TIDWTR_2_UNITS,ngcc,PGE_bay,114.8,6.63,6.89,7.15,46,115,6,6,2,52.73062731,8036,0,0,0,0
CROKET_7_UNIT,ngcc,PGE_bay,240,4.36,4.62,4.88,96,240,5,5,2,110.2583026,16800,0,0,0,0
REDOND_7_UNIT5,ngst,SCE,178.87,11.19,11.89,12.6,72,179,6,6,2,37.17791411,12520.9,0,0,0,0
REDOND_7_UNIT6,ngst,SCE,175,11.19,11.89,12.6,70,175,6,6,2,36.3190184,12250,0,0,0,0
REDOND_7_UNIT7,ngst,SCE,505.96,11.19,11.89,12.6,203,506,6,6,2,105.0306748,35417.2,0,0,0,0
REDOND_7_UNIT8,ngst,SCE,495.9,11.19,11.89,12.6,199,496,6,6,2,102.9447853,34713,0,0,0,0
SAMPSN_6_KELCO1,ngct,SDGE,25,8.02,8.08,8.15,202,25,1,1,3.17,10.4109589,1750,0,0,0,0
HINSON_6_LBECH1,ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,0,0,0,0
HINSON_6_LBECH2,ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,0,0,0,0
HINSON_6_LBECH3,ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,0,0,0,0
HINSON_6_LBECH4,ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,0,0,0,0
CORONS_6_CLRWTR,ngcc,SCE,28,7.49,7.75,8.02,12,28,4,4,2,12.91512915,1960,0,0,0,0
GOLETA_6_ELLWOD,ngct,SCE,54,11.53,11.6,11.66,19,54,1,1,3.17,22.73972603,3780,0,0,0,0
CSCCOG_1_UNIT_1,ngct,PGE_bay,7,18.41,18.48,18.54,3,7,1,1,3.17,2.931506849,490,0,0,0,0
ALAMIT_7_UNIT1,ngst,SCE,174.56,11.19,11.89,12.6,70,175,6,6,2,36.19631902,12219.2,0,0,0,0
